golden_candidate_id,conversation_id,customer_message,agent_response,timestamp,ai_suggested_intent,ai_confidence,ai_suggested_escalation,ai_reason,needs_human_review,true_intent,true_escalation,human_review_note,llm_error
1,amazonhelp_1769428,@AmazonHelp @115821 really? This is how you ship a $200 motherboard? https://t.co/PesyISlrxW,@531985 I know how frustrating this can be. Your feedback helps us improve our packaging: https://t.co/pDfXYTQHSr ^BA,2017-11-07 22:50:11+00:00,Missing_Wrong_or_Damaged_Item,0.95,True,"The customer is reporting poor shipping conditions/damage regarding a $200 motherboard, which requires human investigation and support.",False,Order_Delivery_Tracking,True,,
2,amazonhelp_147342,@115850 dear sir my registered mobile no 9429887971 price differ orderd book video attached https://t.co/fzoqaghFtb,"@149464 Please don't provide your account details, we consider it to be personal. Our Twitter page is public.(2/2) ^GD",2017-11-24 13:48:35+00:00,,0.0,False,,True,Delivery_Delay_or_Missed_Date,False,,Gemini classification failed after 5 attempts.
3,amazonhelp_1112672,"wait. i missed my amazon delivery??? did anyone even ring my bell??????? and when i tracked it, it's not even in my city  @AmazonHelp",@382596 Apologies - Please reach out : https://t.co/JzP7hlA23B we'd like to escalate this with the carrier directly. ^TP,2017-10-15 09:40:37+00:00,Delivery_Delay_or_Missed_Date,0.9,True,"The customer is reporting a missed delivery attempt with conflicting tracking location details, which requires agent investigation into the package location and delivery status.",False,Order_Cancellation_or_Change,True,,
4,amazonhelp_450824,@AmazonHelp Amazon Logistics - every single time they deliver to the WRONG ADDRESS,"@221891 I'd like a member of our Amazon Logistics team to look into this with you further. When you have a moment, please add additional information here: https://t.co/e8xn90CtVv Thank you! ^ML",2017-11-30 21:31:01+00:00,Missing_Wrong_or_Damaged_Item,0.9,True,"The customer is reporting a recurring misdelivery issue where packages are delivered to the wrong address, meaning the items are missing from their perspective and requires human investigation with the carrier.",False,Missing_Wrong_or_Damaged_Item,False,,
5,amazonhelp_24957,"@AmazonHelp Its more than 3 days &amp; m still waiting for replacement of my order, now please refund my money now I don't want to do shopping with u ever",@121399 I'm sorry about the stretch. Kindly reply to the correspondence sent by our team for further assistance. ^GD,2017-11-05 16:41:14+00:00,Returns_Refunds_or_Replacements,0.95,True,The customer is requesting a refund due to an unfulfilled/delayed replacement order and expressing strong dissatisfaction.,False,Returns_Refunds_or_Replacements,True,,
6,amazonhelp_422484,@115821 very bad shopping experience on Amazon delivering same wrong product again and again and after that asking for cancellation of order,@215535 Kindly drop in your details in the link mentioned here: https://t.co/kkT7zZJdsl and we'll contact you. ^GK,2017-10-10 09:29:00+00:00,Missing_Wrong_or_Damaged_Item,0.92,True,"The customer is reporting repeated delivery of the incorrect item and frustration with being asked to cancel, which requires human investigation to resolve the recurring fulfillment issue.",False,Payment_or_Charge_Issue,True,,
7,amazonhelp_2610633,"AmazonTVstickを買って2年程経ち、今はすっかりKindleのお世話になっている。電子書籍は、どうしても欲しい本以外は、とても有り難い。prime会員だし読み放題を３０日利用できるし。
ただ、満員電車ではタブレットより、もっぱらiPhone。 https://t.co/HxdA4ccIOi","@738286 リプライ失礼いたします、Amazon公式です( ･ᴗ･ )　当サイトのデジタルコンテンツをお楽しみいただいているご様子、ありがとうございます！
ご利用シーンにより端末の使い分けもできますので、今後も末永くご愛顧いただければ幸いです😀🙏 HM",2017-11-17 11:33:56+00:00,Product_or_Service_Information,0.6,False,"The message is general feedback/commentary regarding Amazon products and Prime reading services rather than a specific issue, making Product_or_Service_Information the closest fit.",True,Account_Login_or_Security,False,,
8,amazonhelp_1712592,"#Amazon, whats wrong with the response about the damaged package and product ?",@518728 Please contact us directly so we can look into refund or replacement options with you: https://t.co/hApLpMlfHN ^SB,2017-11-07 02:07:33+00:00,,0.0,False,"LLM classification failed: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",True,Product_Availability_or_Pricing,True,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
9,amazonhelp_1645707,"@115830 Are your driver normally rude and suspicious?! Just parked my,before I got out. ""where do you live"" ?? Which house do you live at!!! no ID","@502872 I'm sorry for the delivery issue. To clarify, who's the courier on your order, listed here: https://t.co/aaDyEz1VgE? ^AN",2017-10-17 13:33:25+00:00,Product_or_Service_Information,0.65,True,"The customer is raising a complaint and asking about Amazon's delivery service standards regarding driver behavior and security identification, requiring human agent investigation.",True,Product_or_Service_Information,False,,
10,amazonhelp_132355,@AmazonHelp Done all that. Anymore gems on that sheet of paper you've got??...,"@145862 Have you raised it with customer services yet, Joel? If so what did they advise you?^SM",2017-11-24 08:35:59+00:00,,0.0,False,"LLM classification failed: 503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",True,Prime_Video_Content_Availability,True,,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}"
