customer_message,true_intent,predicted_intent,similarity_score,error_type
"@AmazonHelp on 2 Nov ads are being run to join a prog that ended on 31st Oct ? 
Truly 'amazing'",Product_Availability_or_Pricing,Delivery_Delay_or_Missed_Date,0.5827540159225464,Product_Availability_or_Pricing -> Delivery_Delay_or_Missed_Date
"@115850 ""We cud nt dlvr as we cud nt cntact u on the phone."" U r fooling cstmrs, I clled 3 times AmzAgent(7500100310).",Delivery_Delay_or_Missed_Date,Account_Login_or_Security,0.3619142472743988,Delivery_Delay_or_Missed_Date -> Account_Login_or_Security
@116316 Lorem ipsum in action! 😁 #placeholder #html #text  #webpage #website #lorem #ipsum #publishing https://t.co/7m5Per0dzY,Order_Delivery_Tracking,Product_or_Service_Information,0.3282901048660278,Order_Delivery_Tracking -> Product_or_Service_Information
@AmazonHelp @115821 really? This is how you ship a $200 motherboard? https://t.co/PesyISlrxW,Order_Delivery_Tracking,Delivery_Delay_or_Missed_Date,0.5829592347145081,Order_Delivery_Tracking -> Delivery_Delay_or_Missed_Date
@134803 Ma la seconda stagione di Mr. Robot quando la vedremo??,Prime_Video_Content_Availability,Missing_Wrong_or_Damaged_Item,0.3793113231658935,Prime_Video_Content_Availability -> Missing_Wrong_or_Damaged_Item
@AmazonHelp money back and a proper investigation! Royal waste of my time and a pathetic Diwali thanks to you guys! Only frowns delivered!😡,Returns_Refunds_or_Replacements,Delivery_Delay_or_Missed_Date,0.6339924335479736,Returns_Refunds_or_Replacements -> Delivery_Delay_or_Missed_Date
@AmazonHelp Is there anyway to cancel it because the place they told me to pick it is never open when im available,Order_Cancellation_or_Change,Payment_or_Charge_Issue,0.6804953813552856,Order_Cancellation_or_Change -> Payment_or_Charge_Issue
"@115821 my boyfriends knife was appearently ""damaged in shipping"" and never showed up at this house, &amp; appearently a refund isn't an option?",Missing_Wrong_or_Damaged_Item,Returns_Refunds_or_Replacements,0.5324869155883789,Missing_Wrong_or_Damaged_Item -> Returns_Refunds_or_Replacements
@AmazonHelp is anyone answering at all?  have read similar posts and more was said ad information given than simply 'let me know if it's delivered on Friday'.,Product_or_Service_Information,Order_Delivery_Tracking,0.6974194049835205,Product_or_Service_Information -> Order_Delivery_Tracking
"@115850 poor response by Amazon for seller fulfilled order no response from seller and amazon both 
Order no. 171-1463468-0274748",Product_or_Service_Information,Returns_Refunds_or_Replacements,0.7306469082832336,Product_or_Service_Information -> Returns_Refunds_or_Replacements
@AmazonHelp Done all that. Anymore gems on that sheet of paper you've got??...,Prime_Video_Content_Availability,Product_or_Service_Information,0.5329105854034424,Prime_Video_Content_Availability -> Product_or_Service_Information
Thank you @115821 for sending me the wrong product inside the original box and guess what I need to pay for sending the product back!,Missing_Wrong_or_Damaged_Item,Returns_Refunds_or_Replacements,0.5912759304046631,Missing_Wrong_or_Damaged_Item -> Returns_Refunds_or_Replacements
"@115821 perchè il mio Ww2 non è ancora stato spedito? Ogni anno la stessa storia. ""Spedizione rapida""",Delivery_Delay_or_Missed_Date,Order_Delivery_Tracking,0.1726654767990112,Delivery_Delay_or_Missed_Date -> Order_Delivery_Tracking
"@AmazonHelp warum sieht das buch, das ich neu gekauft habe, schon so zerlesen aus? :( https://t.co/HKTabRiQRx",Missing_Wrong_or_Damaged_Item,Product_or_Service_Information,0.3743494153022766,Missing_Wrong_or_Damaged_Item -> Product_or_Service_Information
ミリペンが潰れてしまったからこの機会に気になってたミリペンAmazonで買いたいんだけど、Amazonの使い方まじめに分からない,Product_or_Service_Information,Account_Login_or_Security,0.4768280982971191,Product_or_Service_Information -> Account_Login_or_Security
"@115830 Are your driver normally rude and suspicious?! Just parked my,before I got out. ""where do you live"" ?? Which house do you live at!!! no ID",Product_or_Service_Information,Missing_Wrong_or_Damaged_Item,0.4006904065608978,Product_or_Service_Information -> Missing_Wrong_or_Damaged_Item
Amazonを利用しながら最近つくづく思う事。。。荷物📦《センター留め》を指定させてくれんかね。。。😒着きました✉くれりゃ仕事帰りに受け取り出来るんだが。。。😩再配達の手間も減るだろに💦,Product_or_Service_Information,Account_Login_or_Security,0.3547453880310058,Product_or_Service_Information -> Account_Login_or_Security
"SSLもAmazonに注文したのに履歴から消えてる…ちょっとショックなんだけど(._.)
履歴から消えた理由がどうしてか分かる人教えてくださいm(_ _)m https://t.co/J8vh4DlCgT",Order_Delivery_Tracking,Account_Login_or_Security,0.3273070454597473,Order_Delivery_Tracking -> Account_Login_or_Security
"@123813 Contraté Amazon Prime, pero no sé cómo ver en mi pantalla Prime Video... ¿cómo hago? Gracias!",Product_or_Service_Information,Prime_Video_Content_Availability,0.610026478767395,Product_or_Service_Information -> Prime_Video_Content_Availability
ふみのひげ剃りが壊れてしまったとのことでプライムナウ3回目。めっちゃ便利,Order_Delivery_Tracking,Account_Login_or_Security,0.2170940339565277,Order_Delivery_Tracking -> Account_Login_or_Security
@AmazonHelp Yeah. Your idiot driver can't locate my building. My big complex that gets Amazon packages daily in SEATTLE. YOUR HQ. SECOND TIME NOW.,Delivery_Delay_or_Missed_Date,Product_or_Service_Information,0.6244062185287476,Delivery_Delay_or_Missed_Date -> Product_or_Service_Information
@115821 it was expected on the 4... now the 6.... so what is happening here?????? It's the 10 https://t.co/Vc9bOGPJnW,Product_or_Service_Information,Delivery_Delay_or_Missed_Date,0.4298985600471496,Product_or_Service_Information -> Delivery_Delay_or_Missed_Date
